,,This data is licensed with a CC BY-SA 4.0 license as per DOAJ's Terms and conditions of use,
A change log showing journals withdrawn from DOAJ from 1st February 2024,,,
A journal may be withdrawn from DOAJ for the following reasons:,,,
Journal is no longer Open Access; Inactive (has not published in the last calendar year); Has not published enough articles this calendar year; Ceased publishing; Website URL no longer works; Journal not adhering to Best practice; Changed publisher but hasn't supplied new URLs/site,,,
This document is a change log. It records an event in time and may not reflect the current status of a journal. A journal title may appear on both sheets and more than once.,,,
[Journals withdrawn between March 2014 and January 2024],,,
Journal Title,ISSN,Date Removed (dd/mm/yyyy),Reason
,,,
,,,
,,,
Current Chemistry Letters,1927-730X,20-December-2024,Journal not adhering to best practice
International Journal of Industrial Engineering Computations,1923-2934,20-December-2024,Journal not adhering to best practice
Cardiovascular Medicine,1662-629X,19-December-2024,Ceased publishing
Acta Innovations,2300-5599,18-December-2024,Journal not adhering to best practice
"Journal of Advocacy, Research and Education",2410-4981,18-December-2024,Journal not adhering to best practice
Alphanumeric Journal,2148-2225,17-December-2024,Website URL no longer works
Zeszyty Naukowe Szkoły Głównej Gospodarstwa Wiejskiego w Warszawie. Problemy Rolnictwa Światowego,2544-0659,16-December-2024,Inactive (has not published in the last calendar year)
Estudios del Desarrollo Social: Cuba y América Latina,2308-0132,16-December-2024,Website URL no longer works
Āmūzish va Yādgīrī,2345-6531,16-December-2024,Journal not adhering to best practice
En Letra,2362-2148,16-December-2024,Website URL no longer works
Periferia,1984-9540,16-December-2024,Journal not adhering to best practice
Razón y Palabra,1605-4806,15-December-2024,Journal not adhering to best practice
Artnodes,1695-5951,15-December-2024,Website URL no longer works
International Journal of Curriculum and Instruction,1562-0506,14-December-2024,Website URL no longer works
Jurnal Hukum & Pembangunan,2503-1465,14-December-2024,Website URL no longer works
Revista de Estudios Socioeducativos,2341-3255,13-December-2024,Journal not adhering to best practice
Revista Estilos de Aprendizaje,1988-8996,13-December-2024,Journal not adhering to best practice
Camera Separatoria,2083-6392,10-December-2024,Inactive (has not published in the last calendar year)
"Journal of Civil Engineering, Environment and Architecture",2300-8903,10-December-2024,Inactive (has not published in the last calendar year)
International Econometric Review,1308-8815,10-December-2024,Journal not adhering to best practice
جرنل آف ریلیجیئس سٹڈیز,2663-0206,10-December-2024,Journal not adhering to best practice
Itamar,2386-8260,9-December-2024,Journal not adhering to best practice
Ege Tıp Dergisi,2147-6500,9-December-2024,Journal not adhering to best practice
Campos,1519-5538,8-December-2024,Journal not adhering to best practice
Indonesian Journal of Forestry Research,2406-8195,6-December-2024,Website URL no longer works
Journal of Agriculture and Natural Resources,2661-6289,4-December-2024,Website URL no longer works
"Revista de Investigación, Formación y Desarrollo",1390-9681,4-December-2024,Journal not adhering to best practice
Institute of Eastern Europe and Central Asia,2328-8280,4-December-2024,Journal not adhering to best practice
ENT Updates,2149-6498,3-December-2024,Journal not adhering to best practice
Science and Technology Indonesia,2580-4391,3-December-2024,Journal not adhering to best practice
Bioma ,2549-9890,3-December-2024,Journal not adhering to best practice
Jurnal Ners dan Kebidanan,2548-3811,3-December-2024,Journal not adhering to best practice
Revista Dynamis,1982-4866,2-December-2024,Website URL no longer works
Управління розвитком,2663-2365,2-December-2024,Journal not adhering to best practice
Соціум. Документ. Комунікація,2524-1060,2-December-2024,Journal not adhering to best practice
Interdisciplinary Cultural and Humanities Review,2786-7129,2-December-2024,Journal not adhering to best practice
Товарознавчий вісник,3041-1432,2-December-2024,Journal not adhering to best practice
Ukrainian Journal of Forest and Wood Science,2664-4460,2-December-2024,Journal not adhering to best practice
Зовнішні справи,2663-2683,2-December-2024,Journal not adhering to best practice
Економіка розвитку,2304-6155,2-December-2024,Journal not adhering to best practice
Економіка АПК,2413-2322,2-December-2024,Journal not adhering to best practice
Соціально-правові студії,2617-4170,2-December-2024,Journal not adhering to best practice
Науковий вісник Національної академії внутрішніх справ,2786-7382,2-December-2024,Journal not adhering to best practice
Стратегии бизнеса,2311-7184,1-December-2024,Ceased publishing
Наука и научная информация,2658-3143,1-December-2024,Ceased publishing
Научный вестник Южного института менеджмента,2305-3100,1-December-2024,Changed publisher but hasn't supplied new URLs/site
Issues in Social and Environmental Accounting,2460-6081,30-November-2024,Website URL no longer works
Jurnal Infotel,2460-0997,30-November-2024,Website URL no longer works
Biomedicine & Pharmacotherapy,1950-6007,26-November-2024,Journal not adhering to best practice
Complex Systems Informatics and Modeling Quarterly,2255-9922,27-November-2024,Website URL no longer works
Privredna Kretanja i Ekonomska Politika,1847-7860,25-November-2024,Ceased publishing
The Journal of Altmetrics,2577-5685,22-November-2024,Ceased publishing
Scholarly Assessment Reports,2689-5870,22-November-2024,Ceased publishing
Open Health Data,2054-7102,22-November-2024,Ceased publishing
