issn,issn_l,publisher
0001-3714,0001-3714,
0001-5113,0001-5113,
0001-6012,0001-6012,
0001-7213,0001-7213,
0002-0591,0002-0591,
0002-3051,0002-3051,
0002-9920,0002-9920,
0004-0584,0004-0584,
0009-7381,0009-7381,
0011-1503,0011-1503,
0011-6297,0011-6297,
0012-1207,0012-1207,
0012-6772,0012-6772,
0016-710X,0016-710X,
0020-8736,0020-8736,
0021-9738,0021-9738,
0022-1333,0022-1333,
0022-9032,0022-9032,
0022-9830,0022-9830,
0023-5954,0023-5954,
0025-0236,0025-0236,
0025-6153,0025-6153,
0025-7729,0025-7729,
0025-8105,0025-8105,
0026-1165,0026-1165,
0026-556X,0026-556X,
0028-3843,0028-3843,
0032-373X,0032-373X,
0032-3772,0032-3772,
0033-2674,0033-2674,
0034-7140,0034-7140,
0034-7299,0034-7299,
0034-7531,0034-7531,
0035-3299,0035-3299,
0036-4665,0036-4665,
0038-0318,0038-0318,
0039-3533,0039-3533,
0041-8781,0041-8781,
0041-8811,0041-8811,
0041-8935,0041-8935,
0048-7619,0048-7619,
0049-2930,2073-9826,
0065-1400,0065-1400,
0065-1583,0065-1583,
0067-9674,0067-9674,
0071-1152,0071-1152,
0072-0992,0072-0992,
0074-0276,0074-0276,
0075-5222,2477-9628,
0078-5466,0078-5466,
0078-6578,0078-6578,
0085-7130,0085-7130,
0098-1818,0098-1818,
0100-1574,0100-1574,
0100-3984,0100-3984,
0100-5405,0100-5405,
0100-6991,0100-6991,
0101-2061,0101-2061,
0101-3262,0101-3262,
0101-3300,0101-3300,
0101-4161,0101-4161,
0101-4846,0101-4846,
0101-7136,0101-7136,
0101-8051,0101-8051,
0101-8108,0101-8108,
0101-8175,0101-8175,
0101-8701,0101-8701,
0101-9759,0101-9759,
0101-9880,0101-9880,
0102-0536,0102-0536,
0102-2555,0102-2555,
0102-3586,0102-3586,
0102-3772,0102-3772,
0102-4302,0102-4302,
0102-6267,0102-6267,
0102-6445,0102-6445,
0102-6909,0102-6909,
0102-695X,0102-695X,
0102-700X,0102-700X,
0102-7735,0102-7735,
0102-9460,0102-9460,
0103-0663,0103-0663,
0103-0752,0103-0752,
0103-1538,0103-1538,
0103-1643,0103-1643,
0103-2100,0103-2100,
0103-2674,0103-2674,
0103-5150,0103-5150,
0103-5665,0103-5665,
0103-6513,0103-6513,
0103-7331,0103-7331,
0103-9733,0103-9733,
0104-1428,0104-1428,
0104-303X,0104-303X,
0104-4230,0104-4230,
0104-4931,0104-4931,
0104-6276,0104-6276,
0104-7043,0104-7043,
0104-7760,0104-7760,
0104-8023,0104-8023,
0104-8481,0104-8481,
0104-8929,0104-8929,
0104-9224,0104-9224,
0104-9933,0104-9933,
0107-3753,0107-3753,
0120-0534,0120-0534,Elsevier|SciELO
0120-0739,0120-0739,
0120-3045,0120-3045,
0120-3630,0120-3630,
0120-3916,0120-3916,
0120-6230,0120-6230,
0120-8322,0120-8322,
0120-8705,0120-8705,SciELO
0120-971X,0120-971X,SciELO
0121-0696,0121-0696,
0121-2494,0121-2494,
0121-3709,0121-3709,SciELO
0121-4381,0121-4381,
0121-7372,0121-7372,
0121-7488,0121-7488,
0122-056X,0122-056X,
0122-3461,0122-3461,
0122-5197,0122-5197,
0122-7610,0122-7610,
0123-3475,1909-8758,
0123-6458,0123-6458,
0123-7047,0123-7047,
0123-9015,0123-9015,
0123-9082,0123-9082,
0124-0781,0124-0781,
0124-4639,0124-4639,
0124-7492,0124-7492,
0125-8281,0125-8281,
0125-961X,0125-961X,
0125-9717,0125-9717,
0126-0235,0126-0235,
0126-1037,0126-1037,
0126-2807,0126-2807,
0126-513X,0126-513X,"The Institution of Engineers, Malaysia (IEM)"
0126-8643,0126-8643,
0127-6271,0127-6271,
0128-4428,0128-4428,"Faculty of Electrical Engineering, Universiti Teknologi Malaysia|Faculty of Electrical Engineering, University Tekn"
0128-4878,0128-4878,
0136-0027,0136-0027,
0138-6204,0138-6204,
0166-0616,0166-0616,
0185-1101,0185-1101,Universidad Nacional Autonoma de Mexico|SciELO
0185-1594,0185-1594,
0185-1616,0185-1616,
0185-1667,0185-1667,
0185-1918,0185-1918,
0185-2620,0185-2620,
0185-3082,0185-3082,
0187-358X,0187-358X,
0187-4519,0187-4519,
0188-2503,0188-2503,
0188-252X,0188-252X,
0188-6266,0188-6266,
0188-7742,0188-7742,
0188-8145,0188-8145,SciELO
0188-8897,0188-8897,
0203-6584,0203-6584,
0210-492X,0210-492X,
0210-5233,0210-5233,
0211-4356,0211-4356,
0211-6057,0211-6057,
0211-9536,0211-9536,
0212-1611,0212-1611,
0212-4408,0212-4408,
0212-7113,0212-7113,
0212-9728,0212-9728,
0213-2397,0213-2397,
0213-6163,0213-6163,
0214-0489,0214-0489,
0214-2597,0214-2597,
0214-4212,0214-4212,
0214-9141,0214-9141,
0215-0824,0215-0824,
0215-0883,0215-0883,
0215-0905,0215-0905,
0215-1677,0215-1677,
0215-4706,0215-4706,
0216-0749,0216-0749,
0216-3241,0216-3241,
0216-4701,0216-4701,
0216-6747,0216-6747,
0216-8138,0216-8138,
0218-5180,0218-5180,
0233-7657,0233-7657,
0235-4160,0235-4160,
0236-2910,0236-2910,
0250-4707,0250-4707,
0250-5991,0250-5991,
0250-6335,0250-6335,
0253-0716,0253-0716,
0253-2964,0253-2964,
0253-4142,0253-4142,
0253-5645,0253-5645,
0253-9950,0253-9950,
0254-0770,0254-0770,
0254-4415,0254-4415,
0254-9220,0254-9220,
0256-2499,0256-2499,
0256-4602,0256-4602,
0256-7024,0256-7024,
0257-4306,0257-4306,
0273-0979,0273-0979,
0289-8063,0289-8063,
0300-8932,0300-8932,
0301-0406,0301-0406,
0301-7036,0301-7036,
0303-464X,0303-464X,
0304-4289,0304-4289,Springer Science & Business Media|Springer
0313-5926,0313-5926,
0318-6431,0318-6431,
0325-0725,0325-0725,
0325-1721,0325-1721,
0325-8203,0325-8203,
0326-1301,0326-1301,
0327-5108,0327-5108,
0328-1310,0328-1310,
0328-6223,0328-6223,
0328-8773,0328-8773,
0329-2142,0329-2142,
0329-8922,0329-8922,
0341-0145,0341-0145,
0348-744X,0348-744X,
0350-0373,0350-0373,
0350-2112,0350-2112,
0350-6886,0350-6886,
0350-7653,0350-7653,
0351-3254,0351-3254,
0351-4285,0351-4285,
0352-5732,0352-5732,
0352-7875,0352-7875,
0352-9509,0352-9509,
0353-4642,0353-4642,
0353-4790,0353-4790,
0353-4855,0353-4855,
0353-6483,0353-6483,
0353-765X,0353-765X,
0354-0316,0354-0316,
0354-4605,0354-4605,
0354-4656,0354-4656,
0365-0812,0365-0812,
0365-1118,0365-1118,
0365-6691,0365-6691,
0365-8104,0365-8104,
0366-2128,0366-2128,SciELO
0368-4814,0368-4814,
0370-4467,0370-4467,
0370-6583,0370-6583,
0372-333X,0372-333X,
0374-0730,0374-0730,
0376-723X,0376-723X,SciELO
0377-9777,0377-9777,
0378-603X,0378-603X,
0379-5284,0379-5284,
0386-2208,0386-2208,
0386-300X,0386-300X,
0392-8764,0392-8764,International Information and Engineering Technology Association
0424-7116,0424-7116,
0424-7558,0424-7558,
0436-0265,0436-0265,
0464-1086,0464-1086,
0473-0992,0473-0992,
0524-6881,0524-6881,
0534-0012,0534-0012,
0554-5579,0554-5579,
0554-5587,0554-5587,
0555-1137,0555-1137,
0561-7332,0561-7332,
0563-8682,0563-8682,
0577-7402,0577-7402,
0579-9384,0579-9384,
0584-9063,0584-9063,
0584-9888,0584-9888,
0716-1077,0716-1077,
0716-1417,0716-1417,
0716-1832,0716-1832,
0716-5927,0716-5927,
0716-7520,0716-7520,
0716-8756,0716-8756,
0717-1285,0717-1285,
0717-4004,0717-4004,
0717-4055,0717-4055,
0717-4675,0717-4675,
0717-5698,0717-5698,
0717-5906,0717-5906,
0717-6201,0301-732X,SciELO
0717-621X,0716-5811,SciELO
0717-6295,0049-3449,SciELO|Universidad Catolica De Chile
0717-7704,0717-7704,
0717-9677,0717-9677,
0718-0195,0718-0195,
0718-0241,0718-0241,
0718-0446,0718-0446,
0718-0551,0718-0551,
0718-1132,0718-1132,
0718-1701,0718-1701,
0718-1876,0718-1876,SciELO|Multidisciplinary Digital Publishing Institute
0718-2201,0716-4254,SciELO
0718-3712,0718-3712,
0718-4662,0718-4654,Conferencia Académica Permanente de Investigación Contable
0718-4883,0033-698X,SciELO
0718-5006,0718-5006,SciELO
0718-5049,0718-5049,SciELO
0718-5073,0716-2952,SciELO
0718-5308,0718-5308,
0718-5391,0718-5391,
0718-5456,0718-5456,
0718-5839,0718-5820,SciELO
0718-7181,0568-3939,SciELO
0718-7432,0718-7432,
0718-8706,0718-8706,
0718-9427,0718-9427,
0718-9729,0716-0488,
0719-0964,0719-0964,
0719-1553,0719-1553,
0719-1820,0719-1820,
0719-1855,0718-1051,"Facultad de Medicina, Pontificia Universidad Católica de Chile"
0719-2150,0718-9389,Universidad Católica de Temuco
0719-2827,0719-2827,
0719-3335,0719-3335,
0719-3653,0719-3653,
0719-367X,0719-3661,Pontificia Universidad Catolica de Chile|SciELO
0719-3726,0719-3726,Universidad Católica de Temuco
0719-3904,0719-3904,
0719-4706,0719-4706,
0719-4765,0719-3386,
0719-689X,0719-2215,
0719-7659,0719-7659,
0730-2347,0730-2347,
0742-3225,0742-3225,
0748-7711,0748-7711,
0761-2990,0761-2990,
0768-598X,0768-598X,
0772-084X,0772-0793,
0783-6104,0783-6104,
0786-3012,0786-3012,
0792-7061,0792-7061,
0797-0048,0797-0048,
0798-1015,0798-1015,
0798-2259,0798-2259,
0798-3166,0798-3166,
0798-9598,0798-9598,
0799-3889,0799-3889,
0818-8149,0818-8149,
0847-3889,0847-3889,
0852-0976,0852-0976,
0853-5884,0853-5884,
0853-6759,0853-6759,
0853-7380,0853-7380,
0853-8654,0853-8654,
0853-8727,0853-8727,
0853-8980,0853-8980,
0853-9847,0853-9847,
0854-3429,0854-3429,
0856-7212,0856-7212,African Journals Online
0859-4074,0859-4074,
0861-5160,0861-5160,
0862-8432,0862-8432,
0862-9544,0862-9544,
0864-4659,0864-4659,
0869-8678,0869-8678,
0870-8312,0870-8312,
0873-366X,0873-366X,
0873-4704,0873-4704,
0873-7444,0873-7444,
0882-6404,0882-6404,
0884-2035,0884-2035,
0886-3067,0886-3067,
0888-6601,0888-6601,
0896-4297,0896-4297,
0899-6180,0899-6180,
0899-8280,0899-8280,
0899-8299,0899-8299,
0924-1205,0924-1205,
0929-6441,0929-6441,
0960-6068,0960-6068,
0969-7373,0969-7373,"De Gruyter Open Sp. z o.o.|Walter de Gruyter, Inc.|De Gruyter"
0970-020X,0970-020X,
0971-5916,0971-5916,
0972-1177,0972-1177,
0972-2823,0022-3859,
0972-5547,0972-5547,
0972-768X,0972-768X,
0972-9062,0972-9062,Medknow Publications|Medknow Publications and Media
0972-9747,0972-9747,
0973-0109,0973-0109,
0973-1482,1998-4138,
0973-3922,0378-6323,Medknow Publications|Medknow Publications & Media Pvt. Ltd.|Scientific Scholar|Medknow Publications and Media
0973-5216,0973-5216,
0973-5658,0973-5658,
0973-6042,0973-6042,Medknow Publications|Medknow Publications and Media
0973-6069,0973-6069,
0973-6980,0973-6980,
0973-7049,0973-7049,NATIONAL ENVIRONMENTALISTS ASSOCIATION
0973-774X,0253-4126,Springer|Springer Science & Business Media|Springer Nature|Springer India
0973-9939,0973-9939,
0973-998X,0973-998X,
0974-1143,0974-1143,
0974-1496,0974-1496,
0974-2190,0974-2190,
0974-2328,0974-2328,
0974-2441,0974-2441,
0974-2891,0974-2891,
0974-4665,0974-4665,
0974-5130,0377-4929,Medknow Publications and Media|Medknow Publications
0974-5157,0974-2077,Medknow Publications and Media|Medknow Publications
0974-5203,0972-0707,Medknow Publications|Medknow Publications and Media
0974-6005,0974-6005,Medknow Publications|Medknow Publications and Media
0974-6013,0974-6013,
0974-7192,0974-7192,
0974-7877,0974-7877,
0974-8490,0974-8490,Medknow Publications|Medknow Publications and Media
0974-9330,0974-9330,Academy & Industry Research Collaboration Center (AIRCC)
0974-9446,0974-9446,
0975-0290,0975-0290,
0975-0754,0975-0754,
0975-1432,0975-153X,
0975-1483,0975-1483,
0975-1491,0975-1491,
0975-1564,0253-7176,Medknow Publications|Medknow Publications and Media|SAGE Publications|Sage
0975-1599,0974-9233,Medknow Publications|Medknow Publications and Media
0975-2129,0971-5851,Medknow Publications|Medknow Publications and Media|Thieme Publishing Group|Thieme Publishers
0975-2137,0975-1475,Medknow Publications|Medknow Publications and Media
0975-248X,0975-248X,
0975-2935,0975-2935,
0975-3265,0975-3265,
0975-3346,0975-3346,
0975-3397,0975-3397,
0975-3826,0975-3826,Academy & Industry Research Collaboration Center (AIRCC)
0975-3834,0975-3834,
0975-5462,0975-5462,Engg Journals Publication
0975-5578,0975-5578,AIRCC
0975-5586,0975-5586,AIRCC
0975-5705,0975-5705,Academy & Industry Research Collaboration Center (AIRCC)
0975-573X,0975-573X,
0975-7023,0975-7023,AIRCC
0975-7031,0975-7260,AIRCC
0975-8151,0975-8151,
0975-8232,0975-8232,
0975-8437,0975-8437,
0975-8992,0975-8992,Academy & Industry Research Collaboration Center (AIRCC)
0975-900X,0975-900X,Academy & Industry Research Collaboration Center (AIRCC)
0975-9018,0975-9018,AIRCC
0975-9026,0975-9026,Academy & Industry Research Collaboration Center (AIRCC)
0975-9212,0975-9212,Medknow Publications|Medknow Publications and Media
0975-928X,0975-928X,
0975-9344,0975-9344,
0975-9492,0975-9492,
0976-0164,0975-0533,
0976-1357,0976-1527,AIRCC
0976-1764,0976-1764,Academy & Industry Research Collaboration Center (AIRCC)
0976-1799,0976-1799,Medknow Publications|Medknow Publications and Media
0976-2760,0976-2760,Academy & Industry Research Collaboration Center (AIRCC)
0976-2787,0973-6581,Medknow Publications and Media|Medknow Publications
0976-2841,0976-2841,
0976-3104,0976-3104,
0976-3155,0976-3155,Georg Thieme Verlag KG|Thieme Publishing Group|Thieme Publishers|Medknow Publications and Media|Scientific Scholar|Medknow Publications
0976-4062,0973-1296,SAGE Publications|Sage|Medknow Publications|Medknow Publications and Media
0976-4089,0976-4089,
0976-4259,0976-4259,
0976-4380,0976-4380,
0976-4399,0976-4399,
0976-4402,0976-4402,
0976-4550,0976-4550,
0976-464X,0011-748X,
0976-4860,0976-4860,
0976-5018,0976-500X,Medknow Publications|SAGE Publications|Medknow Publications and Media
0976-5123,1995-705X,Medknow Publications|Medknow Publications and Media
0976-5166,0976-5166,Engg Journals Publications
0976-5689,0976-5689,
0976-710X,0976-710X,Academy & Industry Research Collaboration Center (AIRCC)
0976-7614,0976-7614,
0976-9404,0976-9404,
0976-9633,0976-9633,Scholar Science Journals
0976-9692,0976-9692,
0976-9757,0976-9757,Academy & Industry Research Collaboration Center (AIRCC)
0987-6936,0987-6936,
1000-5137,1000-5137,
1001-1595,1001-1595,
1001-4381,1001-4381,
1001-5256,1001-5256,
1001-6538,1001-6538,
1001-9014,1001-9014,
1002-0071,1002-0071,
1002-0829,1002-0829,
1003-1057,1003-1057,
1004-5708,1004-5708,
1005-0094,1005-0094,
1006-6748,1006-6748,
1006-754X,1006-754X,
1007-1237,1007-1237,
1008-9209,1008-9209,
1009-5853,1009-5853,
1009-5896,1009-5896,
1012-1587,1012-1587,SciELO
1012-2508,1012-2508,
1012-7089,1012-7089,
1013-090X,1013-090X,
1013-9052,1013-9052,
1016-1007,1016-1007,
1016-4855,1016-4855,
1016-7315,1016-7315,
1017-8422,1017-8422,
1018-3817,1018-3817,
1018-7081,1018-7081,
1019-214X,1019-214X,
1021-9498,1021-9498,
1022-6508,1022-6508,
1023-7763,1023-7763,
1023-9030,1023-9030,
1024-0098,1024-0098,
1024-5375,1024-5375,
1024-7696,1024-7696,
1026-678X,1026-678X,
1027-2127,1027-2127,
1027-4634,1027-4634,
1027-4642,1027-4642,
1027-6769,1027-6769,
1028-2327,1028-2327,
1028-3420,1028-3420,
1028-8708,1028-8708,
1029-0516,1026-714X,Hindawi
1029-3450,1029-3450,
1029-3736,1029-3736,
1029-5151,1029-5143,
1029-5186,1029-5186,
1041-5440,1041-5440,
1042-5055,1042-5055,
1042-8275,1042-8275,
1047-5192,1047-5192,
1055-7660,1055-7660,
1058-3912,1058-3912,
1069-5370,1069-5370,
1072-4303,1072-4303,TESL-EJ
1075-041X,1075-041X,
1076-1551,1076-1551,
1077-5315,0022-0140,Extension Journal Inc
1079-0969,1079-0969,
1082-9873,1082-9873,
1083-446X,1083-446X,
1083-7264,1083-7264,"University of California, Los Angeles"
1084-7561,1084-7561,
1087-0091,1087-0091,
1087-2108,1087-2108,"Dermatology Online Journal – Univ California, Davis|eScholarship Publishing"
1087-3430,1087-3430,
1088-4610,1088-4610,
1088-5870,1088-5870,
1089-4667,1089-4667,Internet Chinese Librarians Club
1089-9758,1089-9758,
1090-6924,1090-6924,
1091-3734,1091-3734,American Nurses Association
1092-1206,1092-1206,Association of College and Research Libraries Science and Technology Section (ACRL/STS)
1093-8966,1093-8966,
1094-4087,1094-4087,Optica Publishing Group|Optica
