JournalID,JournalTitle,Publisher,eissn,pissn,additionalIssns
12,Wireless Communications and Mobile Computing,Hindawi Limited,1530-8677,1530-8669,
359,Comparative and Functional Genomics,Hindawi Limited,1532-6268,1531-6912,
757,World Journal of Surgery,Wiley (John Wiley & Sons),1432-2323,0364-2313,1076-1551; 1431-0651
844,Helgoland Marine Research,Springer-Verlag,1438-3888,1438-387X,
2243,Biomedicine & Pharmacotherapy,Elsevier,,0753-3322,
2474,Materials Today,Elsevier,,1369-7021,
2555,Bioscience Reports,Portland Press,1573-4935,0144-8463,
3815,Asia Pacific Family Medicine,Universitas Gadjah Mada,1444-1683,1447-056X,
5025,Bulletin of the American Mathematical Society,American Mathematical Society,1088-9485,0273-0979,0002-9904
5729,Journal of Biomedicine and Biotechnology,Hindawi Limited,1110-7251,1110-7243,
5886,Revista Española de Cardiología,Elsevier,1579-2242,0300-8932,
5892,BMC Molecular Biology,Springer (Biomed Central Ltd.),1471-2199,1471-2199,
5893,BMC Developmental Biology,Springer (Biomed Central Ltd.),1471-213X,1471-213X,
5895,BMC Biochemistry,Springer (Biomed Central Ltd.),1471-2091,1471-2091,
5906,BMC Physiology,Springer (Biomed Central Ltd.),1472-6793,1472-6793,
5914,BMC Dermatology,Springer (Biomed Central Ltd.),1471-5945,1471-5945,
5930,BMC Structural Biology,Springer (Biomed Central Ltd.),1472-6807,1472-6807,
5934,BMC Chemical Biology,Springer (Biomed Central Ltd.),1472-6769,1472-6769,
5935,BMC Clinical Pathology,Springer (Biomed Central Ltd.),1472-6890,1472-6890,
5946,BMC Ear Nose and Throat Disorders,Springer (Biomed Central Ltd.),1472-6815,1472-6815,
6237,VLSI Design,Hindawi Limited,1563-5171,1065-514X,
6348,Journal of Clinical Investigation,American Society for Clinical Investigation,1558-8238,0021-9738,
10103,Journal of Negative Results in BioMedicine,Springer (Biomed Central Ltd.),1477-5751,1477-5751,
10716,Experimental Physiology,Wiley (The Physiological Society),0958-0670,0958-0670,1469-445X
