openalex_id,issn,issn_l,is_in_doaj,is_core,publisher_id,publisher
S134275830,0001-3714,0001-3714,False,False,P4310312526,Sociedade Brasileira de Microbiologia
S2764458511,0001-5113,0001-5113,False,True,,
S4210198485,0001-6012,0001-6012,True,False,,
S149074594,0001-7213,0001-7213,False,True,P4310314358,"University of Veterinary and Pharmaceutical Sciences, Brno"
S4210185992,0002-0591,0002-0591,True,False,P4310312477,Universidade Federal da Bahia
S4210210009,0002-3051,0002-3051,False,False,,
S182658835,0002-9920,0002-9920,False,True,P4310315719,American Mathematical Society
S4210203377,0004-0584,0004-0584,True,False,,
S2801039,0004-2749,0004-2749,False,True,P4310312269,Conselho Brasileiro de Oftalmologia
S163562665,0006-0887,0006-0887,False,False,P4310317726,Pontifical Biblical Institute
S35664357,0006-8705,0006-8705,False,True,P4310312006,Instituto Agronômico de Campinas
S4210169717,0009-7381,0009-7381,True,False,,
S112657114,0011-1503,0011-1503,False,False,P4310319631,"Instituto de Investigaciones Filosóficas, UNAM"
S46388605,0011-6297,0011-6297,False,True,,
S155983161,0011-748X,0011-748X,False,True,P4323431162,Defence Scientific Information and Documentation Centre
S4210172874,0012-1207,0012-1207,True,False,P4310313962,Deutscher Ärzte-Verlag
S114820257,0012-6772,0012-6772,True,True,,
S144292592,0016-710X,0016-710X,False,True,P4310320108,Springer Nature (Netherlands)
S165423279,0019-509X,0019-509X,False,True,P4310320448,Medknow
S122944797,0019-5359,0019-5359,False,True,P4310320448,Medknow
S26070724,0019-5413,0019-5413,False,True,P4310319900,Springer Science+Business Media
S2736772244,0019-557X,0019-557X,True,True,P4310320448,Medknow
S110809892,0020-8736,0020-8736,False,False,P4310311591,Socialist Workers Party
S2737990313,0021-5597,0021-5597,False,False,P4310320322,De Gruyter Open
S114430552,0021-9738,0021-9738,True,True,P4310320279,American Society for Clinical Investigation
S4210212179,0022-0140,0022-0140,True,True,P4310315945,Clemson University
S115516119,0022-1333,0022-1333,False,True,P4310319965,Springer Nature
S80339509,0022-3859,0022-3859,False,True,P4310320448,Medknow
S164277434,0022-9032,0022-9032,False,True,P4310320293,Via Medica
S2736488649,0022-9830,0022-9830,True,True,P4310314801,Croatian Society of Chemical Engineers
S158577884,0023-5954,0023-5954,False,True,P4310314340,Institute of Information Theory and Automation of the Czech Academy of Sciences
S4210232656,0024-9033,0024-9033,False,True,,
S4210178634,0025-0236,0025-0236,False,False,P4310320364,Akadémiai Kiadó
S25143868,0025-6153,0025-6153,False,True,P4366738116,Experimental Institute for Cereal Growing
S4210196054,0025-7729,0025-7729,False,False,,
S121341522,0025-8105,0025-8105,False,False,P4310322539,Serbian Medical Society
S2764910039,0026-1165,0026-1165,True,True,P4310313579,The Meteorological Society of Japan
S2751001067,0026-556X,0026-556X,False,False,P4310316882,Minnesota Medical Association
S162193870,0028-2715,0028-2715,True,False,P4310319250,Nepal Medical Association
S85107651,0028-3843,0028-3843,False,True,P4310320990,Elsevier BV
S13475779,0028-3886,0028-3886,False,True,P4310320448,Medknow
S145726047,0032-373X,0032-373X,False,True,P4310317397,Index Copernicus International S.A.
S96742272,0032-3772,0032-3772,False,True,P4322632806,Medycyna Praktyczna
S2739134625,0032-3780,0032-3780,False,True,P4310320322,De Gruyter Open
S109223824,0032-6585,0032-6585,False,True,P4310320322,De Gruyter Open
S4210211113,0033-2364,0033-2364,True,False,P4310317390,Polish Society of Mechanical Engineers and Technicians
S68537258,0033-2674,0033-2674,False,True,P4320800686,Polish Psychiatric Association
S1032369396,0033-698X,0033-698X,False,False,P4310315491,University of Concepción
S98174993,0034-7140,0034-7140,False,False,P4310312246,Fundação Getúlio Vargas
S148617929,0034-7299,0034-7299,False,False,P4310312431,Sociedade Brasileira de Otorrinolaringologia
S2738969755,0034-7515,0034-7515,False,False,P4310314881,Editorial Ciencias Médicas
S2738043998,0034-7531,0034-7531,False,False,P4310314881,Editorial Ciencias Médicas
S4306528390,0035-3299,0035-3299,False,False,,
S2764486302,0036-0473,0036-0473,False,False,P4310315838,Rutgers University Libraries
S182450478,0036-4665,0036-4665,False,True,P4310312331,University of São Paulo
S52866267,0038-0318,0038-0318,True,False,P4310321122,Institute for Byzantine Studies of the Serbian Academy of Sciences and Arts
S4210227071,0038-2329,0038-2329,False,False,P4310315351,Health and Medical Publishing Group
S2764643167,0039-3533,0039-3533,True,False,P4310320363,George A. Smathers Libraries
S2736724721,0041-8781,0041-8781,False,True,P4310312015,Universidade de São Paulo - FM/USP
S2739425593,0041-8811,0041-8811,True,False,,
S4210209196,0041-8935,0041-8935,False,False,,
S153126227,0041-9915,0041-9915,False,False,P4310320335,"University Library System, University of Pittsburgh"
S2764536579,0044-2011,0044-2011,False,False,P4310320322,De Gruyter Open
S27014582,0046-9939,0046-9939,True,False,P4310312025,Instituto de Pesca
S2764507459,0048-2706,0048-2706,False,False,P4310319270,Pakistan Cardiac Society
S2737866954,0048-749X,0048-749X,False,True,P4310316008,Southern Regional Science Association
S2737212440,0048-7619,0048-7619,True,False,P4310321135,Georg Thieme Verlag
S2912271296,0049-2930,2073-9826,False,True,P4310319333,Tamkang University
S86165655,0049-3449,0049-3449,False,False,P4310315505,Pontifical Catholic University of Chile
S87096862,0065-1400,0065-1400,False,True,P4310317444,Nencki Institute of Experimental Biology
S176982244,0065-1583,0065-1583,False,True,P4310317469,Wydawnictwo Uniwersytetu Jagiellońskiego
S2736954754,0067-9674,0067-9674,True,False,P4310315478,University of Chile
S4210196176,0072-0992,0072-0992,False,False,,
S165991124,0074-0276,0074-0276,True,True,P4310312016,"Instituto Oswaldo Cruz, Ministério da Saúde"
S39038373,0075-5222,2477-9628,True,False,P4310318780,University of Zulia
S61063144,0078-5466,0078-5466,False,True,P4310317492,Wrocław University of Science and Technology
S2764917397,0078-6578,0078-6578,False,False,,
S54202294,0079-4740,0079-4740,False,False,P4310320322,De Gruyter Open
S114438711,0080-6234,0080-6234,False,False,P4310312331,University of São Paulo
S4387286494,0081-9816,0081-9816,False,False,,
S58891722,0098-1818,0098-1818,False,False,P4310315937,Bureau of Labor Statistics
S4210172135,0100-1574,0100-1574,True,False,P4310312249,Fundação Carlos Chagas
S42168930,0100-3984,0100-3984,False,True,P4310311975,Colégio Brasileiro de Radiologia e Diagnóstico por Imagem
S62719711,0100-5405,0100-5405,False,True,P4310312095,Grupo Paulista de Fitopatologia
S2756221638,0100-6991,0100-6991,True,True,P4310311976,Brazilian College of Surgeons
S27045403,0100-736X,0100-736X,True,True,P4310312017,Colégio Brasileiro de Patologia Animal (CBPA)
S2497724177,0100-8404,0100-8404,False,True,P4310319900,Springer Science+Business Media
S4210223135,0101-2061,0101-2061,False,True,P4310312337,Sociedade Brasileira de Ciência e Tecnologia de Alimentos
S63371229,0101-3262,0101-3262,True,False,P4310312297,"Centro de Estudos Educação e Sociedade, CEDES"
S51819393,0101-3300,0101-3300,True,False,P4310311973,Brazilian Centre for Analysis and Planning
S4210223136,0101-4161,0101-4161,True,True,P4310312331,University of São Paulo
S2764440303,0101-4846,0101-4846,True,False,P4310319915,Universidade Federal de Santa Catarina
S187900846,0101-6083,0101-6083,False,True,P4310312331,University of São Paulo
S2738165242,0101-7136,0101-7136,False,False,P4310312360,Universidade Federal de Goiás
S4210208353,0101-8051,0101-8051,True,False,P4310312335,São Paulo State University
S108262941,0101-8108,0101-8108,False,False,P4310312120,Sociedade de Psiquiatria do Rio Grande do Sul
S43805471,0101-8175,0101-8175,False,False,P4310312350,Sociedade Brasileira de Zoologia
S4210181777,0101-8701,0101-8701,True,False,P4310312548,Federal University of Pernambuco
S4210226437,0101-9759,0101-9759,True,False,P4310312367,Federal University of Rio de Janeiro
S2738612362,0101-9880,0101-9880,False,False,P4310312387,Cidade Editora Científica Ltda
S75515220,0102-0536,0102-0536,False,True,P4310312005,Associação Brasileira de Olericultura
S4387282789,0102-1117,0102-1117,False,False,,
S2737026022,0102-2555,0102-2555,False,False,P4310312331,University of São Paulo
S66562390,0102-3586,0102-3586,False,False,P4310312248,Sociedade Brasileira de Pneumologia e Tisiologia
S100062655,0102-3772,0102-3772,True,True,P4310319809,University of Brasília
S4210168627,0102-4302,0102-4302,True,False,P4310319809,University of Brasília
S4210178807,0102-6267,0102-6267,False,False,P4310312571,Federal University of Rio Grande do Sul
S2739021707,0102-6445,0102-6445,True,False,P4310312129,"Centro de Estudos de Cultura Contemporânea, CEDEC"
S2737697108,0102-6909,0102-6909,False,False,P4310312388,National Association of Post-Graduate Research in Social Sciences
S4210226676,0102-695X,0102-695X,False,True,P4310319900,Springer Science+Business Media
S2736507771,0102-700X,0102-700X,True,False,P4310312551,Brazilian National Archives
S4210172669,0102-7638,0102-7638,True,True,P4310312582,Brazilian Society of Cardiovascular Surgery
S2738396575,0102-7735,0102-7735,False,False,P4310312338,Federal University of Rio Grande do Norte
S4210182390,0102-9460,0102-9460,False,True,P4310319677,Editora da Pontifícia Universidade Católica do Rio Grande do Sul (EDIPUCRS)
S2737465824,0103-0663,0103-0663,False,False,P4310312331,University of São Paulo
S3832347,0103-0752,0103-0752,False,True,P4310312298,Associação Brasileira de Estatística
