,,,
A change log showing journals withdrawn from DOAJ from 19th March 2014 to 31st January 2024,,,
,,,
A new change log is available. This spreadsheet is no longer updated.,,,
,,,
,,,
Journal Title,ISSN,Date Removed (dd/mm/yyyy),Reason
,,,
,,,
,,,
Artvin Çoruh Üniversitesi Orman Fakültesi Dergisi,2146-698X,31-January-2024,Journal not adhering to Best practice
 Journal of Limnology and Freshwater Fisheries Research,2149-4428,30-January-2024,Journal not adhering to Best practice
Fiscaoeconomia,2564-7504,30-January-2024,Journal not adhering to Best practice
Natural and Engineering Sciences,2458-8989,30-January-2024,Journal not adhering to Best practice
ReiDoCrea,2254-5883,29-January-2024,Journal not adhering to Best practice
Revue du Droit des Religions,2534-7462,26-January-2024,Journal not adhering to Best practice
Revue Française des Sciences de l’Information et de la Communication,2263-0856,26-January-2024,Journal not adhering to Best practice
Revue d’Histoire des Sciences Humaines,1963-1022,26-January-2024,Journal not adhering to Best practice
Téoros,1923-2705,26-January-2024,Journal not adhering to Best practice
Atek Na,2422-6726,26-January-2024,Journal not adhering to Best practice
Verso e Reverso,1806-6925,25-January-2024,Ceased publishing
Revista da Faculdade de Ciências Médicas de Sorocaba,1517-8242,23-January-2024,Journal not adhering to Best practice
Rónai,2318-3446,23-January-2024,Journal not adhering to Best practice
Encontros Bibli,1518-2924,23-January-2024,Journal not adhering to Best practice
Cadernos de Pesquisa: Pensamento Educacional,1980-9700,23-January-2024,Website URL no longer works
European Review for Medical and Pharmacological Sciences,2284-0729,23-January-2024,Journal not adhering to Best practice
Karen: Karadeniz Araştırmaları Enstitüsü Dergisi,2458-9705,23-January-2024,Journal not adhering to Best practice
Journal of Corporate Responsibility and Leadership ,2392-2699,22-January-2024,Inactive (has not published in the last calendar year)
Boletín Científico CIOH,2215-9045,21-January-2024,Website URL no longer works
Anglisticum,1857-8179,19-January-2024,Journal not adhering to Best practice
JCSM Clinical Reports,2521-3555,18-January-2024,Ceased publishing
Süleyman Demirel Üniversitesi Tıp Fakültesi Dergisi,1300-7416,16-January-2024,Journal not adhering to Best practice
International Journal of Bahamian Studies,2220-5772,16-January-2024,Journal not adhering to Best practice
"Al-Mada: Jurnal Agama, Sosial, dan Budaya ",2599-2473,12-January-2024,Journal not adhering to Best practice
Bulletin Ekonomi Moneter dan Perbankan ,2460-9196,12-January-2024,Journal not adhering to Best practice
Journal of Computational and Cognitive Engineering,2810-9503,11-January-2024,Journal not adhering to Best practice
Journal of International Students,2166-3750,11-January-2024,Journal not adhering to Best practice
Journal of Critical Globalisation Studies,2040-8498,10-January-2024,Ceased publishing
Toxicology Research and Application,2397-8473,10-January-2024,Ceased publishing
Nanobiomedicine,1849-5435,10-January-2024,Ceased publishing
Microbiology Insights,1178-6361,10-January-2024,Ceased publishing
Epigenetics Insights ,2516-8657,10-January-2024,Ceased publishing
Child Neurology Open,2329-048X,10-January-2024,Ceased publishing
Antiviral Chemistry & Chemotherapy,2040-2066,10-January-2024,Ceased publishing
TheoRèmes,1664-0136,10-January-2024,Journal not adhering to Best practice
Sciences de la Société,2275-2145,10-January-2024,Journal not adhering to Best practice
Indian Journal of Language and Linguistics ,2582-9726,10-January-2024,Journal not adhering to Best practice
